,NOMBRE,FACTURA
0,DONGA HWASUNG MEXICO,F40238
1,DONGA HWASUNG MEXICO,F40353
2,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,F40352
3,INDUSTRIAS LANCERMEX,F40217
4,HELVEX,F40173
5,AUTOLIV STEERING WHEELS MEXICO,F39979
6,AUTOLIV STEERING WHEELS MEXICO,F40319
7,BUSSMANN,F40082
8,CLAVOS NACIONALES C.N,F40340
9,CLAVOS NACIONALES C.N,F40351
10,RICHALUM,F40361
11,TRANSPORTADORES Y FABRICACIONES INDUSTRIALES,F40118
12,INDUSTRIAS LANCERMEX,F40114
13,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,F40171
14,AUTOLIV STEERING WHEELS MEXICO,F39866
15,PQUISEM,F40330
16,SIEGFRIED RHEIN,F39921
17,SIEGFRIED RHEIN,F39934
18,MOLINERA DE MEXICO,F40249
19,Q SEALS DE MEXICO,F40347
20,Q SEALS DE MEXICO,F40066
21,SIEGFRIED RHEIN,F40227
22,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,F40207
23,DEACERO,F40148
24,TE.MEX AUTOMOTIVE,F40183
25,DIECASTING CELAYA,F40252
26,CLAVOS NACIONALES C.N,F39992
27,CEREALES Y PASTAS,F40214
28,PLENCO DE MEXICO,F40156
29,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,F40211
30,DEACERO,F39618
31,GLASSER,F39859
32,NESTLE MEXICO,F40027
33,AIRBUS HELICOPTERS MEXICO QUERETARO,F40035
34,AIRBUS HELICOPTERS MEXICO QUERETARO,F40036
35,SIKA MEXICANA,F40197
36,COVEMEX,F40354
37,HOT MELT SISTEMAS Y SERVICIOS SANCHEZ,F40296
38,EDGAR GARCIA HERNANDEZ,F40345
39,BUSSMANN,F38837
40,SIKA MEXICANA,F40184
41,DWK LIFE SCIENCES,F40025
42,SIEGFRIED RHEIN,F40108
43,DONGA HWASUNG MEXICO,F40320
44,BACHOCO,F36999
45,SIEGFRIED RHEIN,F40228
46,PREFORMADOS DE MEXICO,F40287
47,CEREALES Y PASTAS,F40213
48,EMPACADORA CELAYA,F38707
49,FIDEICOMISO F/1596,F40328
50,DWK LIFE SCIENCES,F40209
51,DONGA HWASUNG MEXICO,F40253
52,DEACERO,F38785
53,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,F39811
54,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,F40080
55,TRANSPORTADORES Y FABRICACIONES INDUSTRIALES,F40317
56,BETA PROCESOS,F40356
57,DEACERO,F38996
58,BEDACOM,F36618
59,NIHON PLAST MEXICANA,F40147
60,GLASSER,F39858
61,CEREALES Y PASTAS,F40350
62,FRESCOS DON GU,F40371
63,DEACERO,F40149
64,KERN LIEBERS MEXICO,F40143
65,PQUISEM,F40346
66,EDGAR GARCIA HERNANDEZ,F40229
67,KERN LIEBERS MEXICO,F40224
68,DEACERO,F40271
69,CONTROLADORA MABE,F39150
70,ITW POLY MEX,F40201
71,ANA BARBARA CRUZ PALACIOS,F40379
72,ARMANDO VIDAURRETA PEÑA,F39769
73,CEREALES Y PASTAS,F40215
74,DISTRIBUCIONES Y REPRESENTACIONES CALORA,F40316
75,OERLIKON BALZERS COATING MEXICO,F40208
76,APEX TOOL GROUP MANUFACTURING MEXICO,F40210
77,SIEGFRIED RHEIN,F40300
78,TRANSPORTADORES Y FABRICACIONES INDUSTRIALES,F40164
79,HOBBY ELECTRONICA,F40301
80,DAVID LICEA PANDURO,F40324
81,CEREALES Y PASTAS,F40212
82,INDUSTRIAS TOLJY,F40298
83,SANKO GOSEI MEXICO,F40182
84,VINILOS,F40377
85,CONSTRUCCIONES ELECTROMECANICAS Y SERVICIOS INDUSTRIALES,F40359
86,EDGAR GARCIA HERNANDEZ,F40074
87,KERN LIEBERS MEXICO,F40168
88,RL ELECTRICO,F40331
89,BETA PROCESOS,F40255
90,ITW POLY MEX,F40341
91,PERFORMANCE COATING,F33924
92,ADVANEX DE MEXICO,F37841
93,J. FRANCISCO FERRUZCA HERNANDEZ,F40101
94,DEACERO,F39281
95,MANTENIMIENTO DE AIRE REFRIGERACION Y CALEFACCION DEL CENTRO,F40344
96,PRODUCTOS PENNSYLVANIA,F40358
97,SIEGFRIED RHEIN,F39871
98,MEXICANA DE INGENIERIA Y MAQUINARIA,F40072
99,APEX TOOL GROUP MANUFACTURING MEXICO,F40226
100,PRODUCTOS PENNSYLVANIA,F40357
101,PÚBLICO EN GENERAL,F40362
102,RAUL SERVIN AGUILLON,F40372
103,BLANCA ROCIO GARCIA MORALES,F40338
104,VINILOS,F40375
105,ALIMENTOS GOURMET DEL BAJIO,F35926
106,DEACERO,F38995
107,JORGE HERBERT PEREZ,F35927
108,CAPTIVE SPORT,F40337
109,CEREALES Y PASTAS,F40216
110,ELASTOMEROS DE QUERETARO,F40343
111,ABASTECEDORA GOURMET,F40342
112,LBQ FOUNDRY,F40092
113,FRESCOPACK,F40355
114,MARI CARMEN ALONZO MORA,F40247
115,HOSPITAL SAN JOSE DE CELAYA,F35700
116,SUAJADOS ESPECIALES Y MAQUILA DE EMPAQUE INDUSTRIAL,F40332
117,CARLOS ALBERTO HERNANDEZ MIRANDA,NV00749
118,DEX STAR,F40333
119,VINILOS,F40378
120,EMZ HANAUER DE MEXICO,F40103
