NOMBRE,No. CLIENTE,FACTURA,FECHA_FACTURA,FECHA_VENCIMIENTO,MONTO ADEUDADO
DONGA HWASUNG MEXICO,6401,F40238,2023-02-24,2023-03-26,97485.94
DONGA HWASUNG MEXICO,6401,F40353,2023-03-14,2023-04-13,97485.94
PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,4598,F40352,2023-03-14,2023-04-13,64916.21
INDUSTRIAS LANCERMEX,3930,F40217,2023-02-23,2023-03-25,52715.74
HELVEX,4712,F40173,2023-02-17,2023-04-03,50639.8
AUTOLIV STEERING WHEELS MEXICO,1429,F39979,2023-01-24,2023-03-25,49416.0
AUTOLIV STEERING WHEELS MEXICO,1429,F40319,2023-03-08,2023-05-07,49416.0
BUSSMANN,5039,F40082,2023-02-04,2023-02-04,48882.12
CLAVOS NACIONALES C.N,644,F40340,2023-03-13,2023-05-12,45216.34
CLAVOS NACIONALES C.N,644,F40351,2023-03-14,2023-05-13,45216.34
